objectid,filename,youtubeid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
cogfig001,image001.jpg,,Defects in trafficking bridge Parkinson's disease pathology and genetics,"Abeliovich, Asa; Gitler, Aaron D.",2016-11-10,Advances in genetics and experimental model systems have illuminated an important role for defects in intracellular transport pathways to lysosomes. ,Parkinson Disease 帕金森病; Dopamine neurons 多巴胺神经元; Lysosomes 溶酶体; ,"New York, USA; Stanford, USA",40.7127281; 37.4313138499999,-74.0060152; -122.169365354983,Nature,v_539_0_207-216,Image,image/jpeg,eng,"© 2016 Macmillan Publishers Limited, part of Springer Nature. All rights reserved.",https://s100.copyright.com/AppDispatchServlet?title=Defects%20in%20trafficking%20bridge%20Parkinson%27s%20disease%20pathology%20and%20genetics&author=Asa%20Abeliovich%20et%20al&contentID=10.1038%2Fnature20414&copyright=Nature%20Publishing%20Group%2C%20a%20division%20of%20Macmillan%20Publishers%20Limited.%20All%20Rights%20Reserved.&publication=0028-0836&publicationDate=2016-11-09&publisherName=SpringerNature&orderBeanReset=true
cogfig002,image002.jpg,,Cognitive chimera states in human brain networks,"Bansal, Kanika, et al.",2019-04-03,"As different regions dynamically interact to perform cognitive tasks, variable patterns of partial synchrony can be observed, forming chimera states. ","Brain 脑; Cognition 认知; Nerve net 神经网; Chimera 嵌合体
",USA,39.7837304,-100.4458825,Science Advances,v_5_0_eaau8535,Image,image/jpeg,eng,,
cogfig003,image003.jpg,,Language networks in semantic dementia,"Agosta, Federica, et al",2009-09-16,The aim of this study was to investigate the left language-related cerebral pathways in semantic dementia using diffusion tensor imaging-based tractography and to combine the findings with cortical anatomical and functional magnetic resonance imaging data obtained during a reading activation task.,"Frontotemporal dementia 额颞痴呆; Semantic dementia 语义痴呆
",USA,39.7837304,-100.4458825,Brain,v_133_1_286-299,Image,image/jpeg,eng,© 2009 The Author. Published by Oxford University Press on behalf of the Guarantors of Brain. All rights reserved.,"For Permissions, please email:journals.permissions@oxfordjournals.org"
cogfig004,image004.jpg,,Foreign language learning in older age does not improve memory or intelligence: Evidence from a randomized controlled study,"Berggren, Rasmus, et al
",2020,Foreign language learning in older age has been proposed as a promising avenue for combatting age-related cognitive decline. We tested this hypothesis in a randomized controlled study in a sample of 160 healthy older participants (aged 65–75 years) who were randomized to 11 weeks of either language learning or relaxation training.,"Cognitive aging 认知老龄化; Foreign language learning 外语学习
","Sweden; Netherlands; Germany
",59.6749712; 52.5001698; 51.0834196,14.5208584; 5.7480821; 10.4234469,Psychology and Aging,v_35_2_212-219,image,image/jpeg,eng,© 2020 American Psychological Association,
cogfig005,image005.jpg,,New perspectives on the aging lexicon,"Wulff, Dirk U. et al
",2019,"The field of cognitive aging has seen considerable advances in describing the linguistic and semantic changes that happen during the adult life span to uncover the structure of the mental lexicon (i.e., the mental repository of lexical and conceptual representations). Nevertheless, there is still debate concerning the sources of these changes, including the role of environmental exposure and several cognitive mechanisms associated with learning, representation, and retrieval of information.","Mental lexicon 心理词典; Aging 老龄化; Language disorders 语言障碍
",Swizerland; Germany; Australia; USA,46.7985624,8.2319736,Trends in Cognitive Sciences,v_23_8_686-698,image,image/jpeg,eng,© 2019 The Authors. Published by Elsevier Ltd. This is an open access article under the CC BY license (http://creativecommons.org/licenses/by/4.0/).,http://creativecommons.org/licenses/by/4.0/
cogfig006,image006.jpg,,A fresh look at adult neurogenesis,"Steiner, Embla, et al
",2019,Improved protocols for the visualization of immature neurons in the human brain provide evidence for generation of neurons in the adult hippocampus and uncover reduced neurogenesis in Alzheimer’s disease. ,Neurogenesis 神经元生成; Hippocampus 海马; Brain脑; Neurons 神经元,"Sweden
",59.6749712,14.5208584,Nature Medicine,v_25_0_542-543,image,image/jpeg,eng,,
cogfig007,image007.jpg,,Human cognition involves the dynamic integration of neural activity and neuromodulatory systems,"Shine, James M. et al",2019,"The human brain integrates diverse cognitive processes into a coherent whole, shifting fluidly as a function of changing environmental demands. Despite recent progress, the neurobiological mechanisms responsible for this dynamic system-level integration remain poorly understood. Here we investigated the spatial, dynamic, and molecular signatures of system-wide neural activity across a range of cognitive tasks. ",Neuron 神经元；Nerve net 神经网；Cognition 认知,"Australia; USA
",-24.7761086,134.755,Nature Neuroscience,v_22_0_289-296,image,image/jpeg,eng,,
cogfig008,image008.jpg,,Astrocyte function from information processing to cognition and cognitive impairment,"Santello, Mirko, et al
",2019,"Astrocytes serve important roles that affect recruitment and function of neurons at the local and network levels. Here we review the contributions of astrocyte signaling to synaptic plasticity, neuronal network oscillations, and memory function.","Astrocytes 星形细胞; Neurons 神经元; Neural Networks, Anatomic 解剖神经网",Switzerland,46.7985624,8.2319736,Nature Neuroscience,v_22_154-166,image,image/jpeg,eng,,
cogfig009,image009.jpg,,Networks disrupted in linguistic variants of frontotemporal dementia,"Reyes, Pablo Alexander, et al
",2019,The non-fluent/agrammatic variant of primary progressive aphasia (nfvPPA) and semantic variant (svPPA) of frontotemporal dementia (FTD) are neurodegenerative diseases.,Frontotemporal dementia 额颞失智症; Linguistic variants 言语性变; Aphasia variants失语症性变,Colombia,2.8894434,-73.783892,Frontiers in Neurology,v_10_Article 903 https://doi.org/10.3389/fneur.2019.00903,image,image/jpeg,eng,,
cogfig010,image010.jpg,,Selective vulnerability in neurodegenerative diseases,"Fu, Hongjun, et al
",2018,Neurodegenerative diseases have two general characteristics that are so fundamental we usually take them for granted. The first is that the pathology associated with the disease only affects particular neurons (‘selective neuronal vulnerability’); the second is that the pathology worsens with time and impacts more regions in a stereotypical and predictable fashion. ,"Neurodegenerative Diseases 神经变性疾病; Neurons 神经元; Neural Networks, Anatomic 解剖神经网",,39.7837304; 51.5073219,-100.4458825; -0.1276474,Nature Neuroscience,v_21_10_1350-1358. https://doi.org/10.1038/s41593-018-0221-2,image,image/jpeg,eng,,
cogfig011,image011.jpg,,Croatia,,,,,,45.5643442,17.0118954,,,image,image/jpeg,,,
